task_id,system,run_idx,n_claims_total,n_claims_scored,n_matched,n_hallucinated,numerical_accuracy,hallucination_rate
billing_01_a,langgraph,0,11,11,7,4,0.636,0.364
billing_01_a,langgraph,1,20,20,16,4,0.8,0.2
billing_01_b,langgraph,0,4,2,2,0,1.0,0.0
billing_01_b,langgraph,1,6,4,2,2,0.5,0.5
billing_01_c,langgraph,0,20,18,16,2,0.889,0.111
billing_01_c,langgraph,1,20,18,17,1,0.944,0.056
billing_02,langgraph,0,15,14,13,1,0.929,0.071
billing_02,langgraph,1,17,16,14,2,0.875,0.125
billing_03,langgraph,0,17,16,15,1,0.938,0.062
billing_03,langgraph,1,14,13,13,0,1.0,0.0
anomaly_01_a,langgraph,0,0,0,0,0,,
anomaly_01_a,langgraph,1,0,0,0,0,,
anomaly_01_b,langgraph,0,0,0,0,0,,
anomaly_01_b,langgraph,1,0,0,0,0,,
anomaly_01_c,langgraph,0,0,0,0,0,,
anomaly_01_c,langgraph,1,0,0,0,0,,
anomaly_02,langgraph,0,0,0,0,0,,
anomaly_02,langgraph,1,0,0,0,0,,
outage_01_a,langgraph,0,1,1,1,0,1.0,0.0
outage_01_a,langgraph,1,2,2,2,0,1.0,0.0
outage_01_b,langgraph,0,2,2,2,0,1.0,0.0
outage_01_b,langgraph,1,1,1,1,0,1.0,0.0
outage_01_c,langgraph,0,1,1,1,0,1.0,0.0
outage_01_c,langgraph,1,2,2,2,0,1.0,0.0
outage_02,langgraph,0,4,4,3,1,0.75,0.25
outage_02,langgraph,1,3,3,3,0,1.0,0.0
weather_01_a,langgraph,0,2,0,0,0,,
weather_01_a,langgraph,1,3,0,0,0,,
weather_01_b,langgraph,0,18,18,13,5,0.722,0.278
weather_01_b,langgraph,1,11,11,6,5,0.545,0.455
weather_01_c,langgraph,0,2,0,0,0,,
weather_01_c,langgraph,1,2,0,0,0,,
weather_02,langgraph,0,5,0,0,0,,
weather_02,langgraph,1,3,0,0,0,,
solar_01_a,langgraph,0,3,2,1,1,0.5,0.5
solar_01_a,langgraph,1,6,4,2,2,0.5,0.5
solar_01_b,langgraph,0,5,2,1,1,0.5,0.5
