task_id,system,run_idx,category,paraphrase_group,expected_agents,actual_agents,expected_sequence,actual_sequence,agent_precision,agent_recall,agent_f1,weighted_precision,weighted_recall,weighted_f1,sequence_accuracy,fact_coverage,task_success,judge_overall,judge_consistency,judge_completeness,judge_groundedness,judge_actionability,judge_task_success,numerical_accuracy,hallucination_rate,n_claims_scored,total_latency_ms,agent_exec_sum_ms,reasoning_overhead_ms,overhead_ratio,mapping_latency_ms,tokens,steps_completed,error,answer_chars
billing_01_a,langgraph,0,billing,high_bill_july_1001,billing_agent,billing_agent|anomaly_detection_agent|weather_context_agent|outage_detection_agent,billing_agent,billing_agent|anomaly_detection_agent|weather_context_agent|outage_detection_agent,0.25,1.0,0.4,0.526,1.0,0.69,1.0,1.0,1,5.0,5,5,5,5,True,0.636,0.364,11,39910,0,39910,1.0,0,5812,,,2000
billing_01_a,langgraph,1,billing,high_bill_july_1001,billing_agent,billing_agent|anomaly_detection_agent|weather_context_agent|outage_detection_agent,billing_agent,billing_agent|anomaly_detection_agent|weather_context_agent|outage_detection_agent,0.25,1.0,0.4,0.526,1.0,0.69,1.0,1.0,1,5.0,5,5,5,5,True,0.8,0.2,20,11415,0,11415,1.0,0,6013,,,2126
billing_01_b,langgraph,0,billing,high_bill_july_1001,billing_agent,anomaly_detection_agent|weather_context_agent|outage_detection_agent,billing_agent,anomaly_detection_agent|weather_context_agent|outage_detection_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0,5.0,5,5,5,5,True,1.0,0.0,2,5566,0,5566,1.0,0,5120,,,1205
billing_01_b,langgraph,1,billing,high_bill_july_1001,billing_agent,anomaly_detection_agent|weather_context_agent|outage_detection_agent,billing_agent,anomaly_detection_agent|weather_context_agent|outage_detection_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0,5.0,5,5,5,5,True,0.5,0.5,4,5599,0,5599,1.0,0,5155,,,1372
billing_01_c,langgraph,0,billing,high_bill_july_1001,billing_agent,billing_agent,billing_agent,billing_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5,5,5,5,True,0.889,0.111,18,7719,0,7719,1.0,0,4416,,,1508
billing_01_c,langgraph,1,billing,high_bill_july_1001,billing_agent,billing_agent,billing_agent,billing_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5,5,5,5,True,0.944,0.056,18,6884,0,6884,1.0,0,4224,,,1386
billing_02,langgraph,0,billing,line_items_1002,billing_agent,billing_agent,billing_agent,billing_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5,5,5,5,True,0.929,0.071,14,7823,0,7823,1.0,0,4299,,,1219
billing_02,langgraph,1,billing,line_items_1002,billing_agent,billing_agent,billing_agent,billing_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5,5,5,5,True,0.875,0.125,16,9935,0,9935,1.0,0,4255,,,1054
billing_03,langgraph,0,billing,dispute_1001,billing_agent,billing_agent,billing_agent,billing_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5,5,5,5,True,0.938,0.062,16,20677,0,20677,1.0,0,4269,,,1077
billing_03,langgraph,1,billing,dispute_1001,billing_agent,billing_agent,billing_agent,billing_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5,5,5,5,True,1.0,0.0,13,21410,0,21410,1.0,0,4105,,,1006
anomaly_01_a,langgraph,0,anomaly,spikes_1001_july,anomaly_detection_agent,anomaly_detection_agent,anomaly_detection_agent,anomaly_detection_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5,5,5,5,True,,,0,4709,0,4709,1.0,0,4325,,,1251
anomaly_01_a,langgraph,1,anomaly,spikes_1001_july,anomaly_detection_agent,anomaly_detection_agent,anomaly_detection_agent,anomaly_detection_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5,5,5,5,True,,,0,5434,0,5434,1.0,0,4286,,,1206
anomaly_01_b,langgraph,0,anomaly,spikes_1001_july,anomaly_detection_agent,anomaly_detection_agent,anomaly_detection_agent,anomaly_detection_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,4.75,5,5,5,4,True,,,0,4909,0,4909,1.0,0,4275,,,1068
anomaly_01_b,langgraph,1,anomaly,spikes_1001_july,anomaly_detection_agent,anomaly_detection_agent,anomaly_detection_agent,anomaly_detection_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,4.75,5,5,5,4,True,,,0,5836,0,5836,1.0,0,4314,,,1107
anomaly_01_c,langgraph,0,anomaly,spikes_1001_july,anomaly_detection_agent,anomaly_detection_agent,anomaly_detection_agent,anomaly_detection_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5,5,5,5,True,,,0,4485,0,4485,1.0,0,4257,,,981
anomaly_01_c,langgraph,1,anomaly,spikes_1001_july,anomaly_detection_agent,anomaly_detection_agent,anomaly_detection_agent,anomaly_detection_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5,5,5,5,True,,,0,4631,0,4631,1.0,0,4258,,,973
anomaly_02,langgraph,0,anomaly,anomaly_1002,anomaly_detection_agent,anomaly_detection_agent,anomaly_detection_agent,anomaly_detection_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,4.75,5,5,5,4,True,,,0,6575,0,6575,1.0,0,4275,,,1102
anomaly_02,langgraph,1,anomaly,anomaly_1002,anomaly_detection_agent,anomaly_detection_agent,anomaly_detection_agent,anomaly_detection_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,4.75,5,5,5,4,True,,,0,4681,0,4681,1.0,0,4238,,,1104
outage_01_a,langgraph,0,outage,outage_1002_july,outage_detection_agent,outage_detection_agent,outage_detection_agent,outage_detection_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,4.75,5,5,5,4,True,1.0,0.0,1,3487,0,3487,1.0,0,3661,,,424
outage_01_a,langgraph,1,outage,outage_1002_july,outage_detection_agent,outage_detection_agent,outage_detection_agent,outage_detection_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5,5,5,5,True,1.0,0.0,2,2858,0,2858,1.0,0,3671,,,500
outage_01_b,langgraph,0,outage,outage_1002_july,outage_detection_agent,outage_detection_agent,outage_detection_agent,outage_detection_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5,5,5,5,True,1.0,0.0,2,3174,0,3174,1.0,0,3666,,,448
outage_01_b,langgraph,1,outage,outage_1002_july,outage_detection_agent,outage_detection_agent,outage_detection_agent,outage_detection_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5,5,5,5,True,1.0,0.0,1,2459,0,2459,1.0,0,3632,,,285
outage_01_c,langgraph,0,outage,outage_1002_july,outage_detection_agent,outage_detection_agent,outage_detection_agent,outage_detection_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5,5,5,5,True,1.0,0.0,1,2864,0,2864,1.0,0,3665,,,397
outage_01_c,langgraph,1,outage,outage_1002_july,outage_detection_agent,outage_detection_agent,outage_detection_agent,outage_detection_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5,5,5,5,True,1.0,0.0,2,3069,0,3069,1.0,0,3695,,,539
outage_02,langgraph,0,outage,outage_1001,outage_detection_agent,outage_detection_agent,outage_detection_agent,outage_detection_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,4.75,5,5,5,4,True,0.75,0.25,4,2921,0,2921,1.0,0,3801,,,586
outage_02,langgraph,1,outage,outage_1001,outage_detection_agent,outage_detection_agent,outage_detection_agent,outage_detection_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5,5,5,5,True,1.0,0.0,3,2857,0,2857,1.0,0,3808,,,552
weather_01_a,langgraph,0,weather,weather_explains_1001,weather_context_agent,weather_context_agent|anomaly_detection_agent,weather_context_agent,weather_context_agent|anomaly_detection_agent,0.5,1.0,0.667,0.769,1.0,0.87,1.0,1.0,1,5.0,5,5,5,5,True,,,0,9376,0,9376,1.0,0,4643,,,1305
weather_01_a,langgraph,1,weather,weather_explains_1001,weather_context_agent,weather_context_agent|anomaly_detection_agent,weather_context_agent,weather_context_agent|anomaly_detection_agent,0.5,1.0,0.667,0.769,1.0,0.87,1.0,1.0,1,4.75,5,5,5,4,True,,,0,7219,0,7219,1.0,0,4650,,,1272
weather_01_b,langgraph,0,weather,weather_explains_1001,weather_context_agent,weather_context_agent|billing_agent,weather_context_agent,weather_context_agent|billing_agent,0.5,1.0,0.667,0.769,1.0,0.87,1.0,1.0,1,5.0,5,5,5,5,True,0.722,0.278,18,13531,0,13531,1.0,0,4627,,,1554
weather_01_b,langgraph,1,weather,weather_explains_1001,weather_context_agent,weather_context_agent|billing_agent,weather_context_agent,weather_context_agent|billing_agent,0.5,1.0,0.667,0.769,1.0,0.87,1.0,1.0,1,5.0,5,5,5,5,True,0.545,0.455,11,11093,0,11093,1.0,0,6503,,,886
weather_01_c,langgraph,0,weather,weather_explains_1001,weather_context_agent,weather_context_agent,weather_context_agent,weather_context_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,4.25,5,4,5,3,True,,,0,4279,0,4279,1.0,0,3682,,,670
weather_01_c,langgraph,1,weather,weather_explains_1001,weather_context_agent,weather_context_agent,weather_context_agent,weather_context_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,4.5,5,5,5,3,True,,,0,2862,0,2862,1.0,0,3622,,,333
weather_02,langgraph,0,weather,weather_1002,weather_context_agent,weather_context_agent,weather_context_agent,weather_context_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,4.5,5,5,5,3,True,,,0,6271,0,6271,1.0,0,3741,,,689
weather_02,langgraph,1,weather,weather_1002,weather_context_agent,weather_context_agent,weather_context_agent,weather_context_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,4.5,5,5,5,3,True,,,0,4606,0,4606,1.0,0,3671,,,480
solar_01_a,langgraph,0,solar,solar_underperf_1001,solar_performance_credit_loss_agent,solar_performance_credit_loss_agent,solar_performance_credit_loss_agent,solar_performance_credit_loss_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5,5,5,5,True,0.5,0.5,2,30252,0,30252,1.0,0,4308,,,603
solar_01_a,langgraph,1,solar,solar_underperf_1001,solar_performance_credit_loss_agent,solar_performance_credit_loss_agent|weather_context_agent,solar_performance_credit_loss_agent,solar_performance_credit_loss_agent|weather_context_agent,0.5,1.0,0.667,0.769,1.0,0.87,1.0,1.0,1,5.0,5,5,5,5,True,0.5,0.5,4,7430,0,7430,1.0,0,4842,,,1203
solar_01_b,langgraph,0,solar,solar_underperf_1001,solar_performance_credit_loss_agent,solar_performance_credit_loss_agent|weather_context_agent,solar_performance_credit_loss_agent,solar_performance_credit_loss_agent|weather_context_agent,0.5,1.0,0.667,0.769,1.0,0.87,1.0,1.0,1,4.75,5,5,5,4,True,0.5,0.5,2,5638,0,5638,1.0,0,4831,,,1104
solar_01_b,langgraph,1,solar,solar_underperf_1001,solar_performance_credit_loss_agent,solar_performance_credit_loss_agent,solar_performance_credit_loss_agent,solar_performance_credit_loss_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,4.75,5,5,5,4,True,0.5,0.5,2,3781,0,3781,1.0,0,4333,,,714
solar_01_c,langgraph,0,solar,solar_underperf_1001,solar_performance_credit_loss_agent,solar_performance_credit_loss_agent,solar_performance_credit_loss_agent,solar_performance_credit_loss_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5,5,5,5,True,1.0,0.0,2,3889,0,3889,1.0,0,4338,,,714
solar_01_c,langgraph,1,solar,solar_underperf_1001,solar_performance_credit_loss_agent,solar_performance_credit_loss_agent,solar_performance_credit_loss_agent,solar_performance_credit_loss_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5,5,5,5,True,0.5,0.5,4,4719,0,4719,1.0,0,4370,,,887
solar_02,langgraph,0,solar,solar_1002,solar_performance_credit_loss_agent,solar_performance_credit_loss_agent,solar_performance_credit_loss_agent,solar_performance_credit_loss_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,4.5,5,4,5,4,True,0.0,1.0,4,3626,0,3626,1.0,0,4308,,,582
solar_02,langgraph,1,solar,solar_1002,solar_performance_credit_loss_agent,solar_performance_credit_loss_agent,solar_performance_credit_loss_agent,solar_performance_credit_loss_agent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5,5,5,5,True,0.0,1.0,4,6807,0,6807,1.0,0,4307,,,608
