task_id,system,run_idx,task_success,reason
anomaly_01_a,langgraph,0,1,"fact_coverage 1.00, no punt"
anomaly_01_a,langgraph,1,1,"fact_coverage 1.00, no punt"
anomaly_01_a,one_shot,0,1,"fact_coverage 0.67, no punt"
anomaly_01_a,one_shot,1,1,"fact_coverage 0.67, no punt"
anomaly_01_a,orchestrator,0,1,"fact_coverage 1.00, no punt"
anomaly_01_a,orchestrator,1,1,"fact_coverage 1.00, no punt"
anomaly_01_a,rag,0,1,"fact_coverage 1.00, no punt"
anomaly_01_a,rag,1,1,"fact_coverage 1.00, no punt"
anomaly_01_b,langgraph,0,1,"fact_coverage 1.00, no punt"
anomaly_01_b,langgraph,1,1,"fact_coverage 1.00, no punt"
anomaly_01_b,one_shot,0,0,fact_coverage 0.33 < 0.5
anomaly_01_b,one_shot,1,0,fact_coverage 0.00 < 0.5
anomaly_01_b,orchestrator,0,1,"fact_coverage 0.67, no punt"
anomaly_01_b,orchestrator,1,1,"fact_coverage 1.00, no punt"
anomaly_01_b,rag,0,1,"fact_coverage 0.67, no punt"
anomaly_01_b,rag,1,1,"fact_coverage 0.67, no punt"
anomaly_01_c,langgraph,0,1,"fact_coverage 1.00, no punt"
anomaly_01_c,langgraph,1,1,"fact_coverage 1.00, no punt"
anomaly_01_c,one_shot,0,1,"fact_coverage 0.67, no punt"
anomaly_01_c,one_shot,1,1,"fact_coverage 0.67, no punt"
anomaly_01_c,orchestrator,0,1,"fact_coverage 1.00, no punt"
anomaly_01_c,orchestrator,1,1,"fact_coverage 1.00, no punt"
anomaly_01_c,rag,0,1,"fact_coverage 0.67, no punt"
anomaly_01_c,rag,1,1,"fact_coverage 0.67, no punt"
anomaly_02,langgraph,0,1,"fact_coverage 1.00, no punt"
anomaly_02,langgraph,1,1,"fact_coverage 1.00, no punt"
anomaly_02,one_shot,0,1,"fact_coverage 1.00, no punt"
anomaly_02,one_shot,1,1,"fact_coverage 0.50, no punt"
anomaly_02,orchestrator,0,1,"fact_coverage 1.00, no punt"
anomaly_02,orchestrator,1,1,"fact_coverage 1.00, no punt"
anomaly_02,rag,0,1,"fact_coverage 0.50, no punt"
anomaly_02,rag,1,1,"fact_coverage 0.50, no punt"
billing_01_a,langgraph,0,1,"fact_coverage 1.00, no punt"
billing_01_a,langgraph,1,1,"fact_coverage 1.00, no punt"
billing_01_a,one_shot,0,0,fact_coverage 0.25 < 0.5
billing_01_a,one_shot,1,0,fact_coverage 0.25 < 0.5
billing_01_a,orchestrator,0,1,"fact_coverage 1.00, no punt"
billing_01_a,orchestrator,1,1,"fact_coverage 1.00, no punt"
billing_01_a,rag,0,1,"fact_coverage 1.00, no punt"
billing_01_a,rag,1,1,"fact_coverage 1.00, no punt"
billing_01_b,langgraph,0,0,fact_coverage 0.25 < 0.5
billing_01_b,langgraph,1,0,fact_coverage 0.25 < 0.5
billing_01_b,one_shot,0,0,fact_coverage 0.25 < 0.5
billing_01_b,one_shot,1,0,fact_coverage 0.25 < 0.5
billing_01_b,orchestrator,0,1,"fact_coverage 1.00, no punt"
billing_01_b,orchestrator,1,1,"fact_coverage 1.00, no punt"
billing_01_b,rag,0,1,"fact_coverage 1.00, no punt"
billing_01_b,rag,1,1,"fact_coverage 1.00, no punt"
billing_01_c,langgraph,0,1,"fact_coverage 1.00, no punt"
billing_01_c,langgraph,1,1,"fact_coverage 1.00, no punt"
billing_01_c,one_shot,0,0,fact_coverage 0.25 < 0.5
billing_01_c,one_shot,1,0,fact_coverage 0.25 < 0.5
billing_01_c,orchestrator,0,1,"fact_coverage 1.00, no punt"
billing_01_c,orchestrator,1,1,"fact_coverage 1.00, no punt"
billing_01_c,rag,0,1,"fact_coverage 1.00, no punt"
billing_01_c,rag,1,1,"fact_coverage 1.00, no punt"
billing_02,langgraph,0,1,"fact_coverage 1.00, no punt"
billing_02,langgraph,1,1,"fact_coverage 1.00, no punt"
billing_02,one_shot,0,1,"fact_coverage 0.75, no punt"
billing_02,one_shot,1,1,"fact_coverage 0.75, no punt"
billing_02,orchestrator,0,1,"fact_coverage 1.00, no punt"
billing_02,orchestrator,1,1,"fact_coverage 1.00, no punt"
billing_02,rag,0,0,fact_coverage 0.25 < 0.5
billing_02,rag,1,0,fact_coverage 0.25 < 0.5
billing_03,langgraph,0,1,"fact_coverage 1.00, no punt"
billing_03,langgraph,1,1,"fact_coverage 1.00, no punt"
billing_03,one_shot,0,1,"fact_coverage 0.67, no punt"
billing_03,one_shot,1,1,"fact_coverage 0.67, no punt"
billing_03,orchestrator,0,1,"fact_coverage 1.00, no punt"
billing_03,orchestrator,1,1,"fact_coverage 1.00, no punt"
billing_03,rag,0,1,"fact_coverage 1.00, no punt"
billing_03,rag,1,1,"fact_coverage 1.00, no punt"
multihop_01,langgraph,0,1,"fact_coverage 0.80, no punt"
multihop_01,langgraph,1,1,"fact_coverage 0.80, no punt"
multihop_01,one_shot,0,1,"fact_coverage 0.80, no punt"
multihop_01,one_shot,1,1,"fact_coverage 0.60, no punt"
multihop_01,orchestrator,0,1,"fact_coverage 1.00, no punt"
multihop_01,orchestrator,1,1,"fact_coverage 1.00, no punt"
multihop_01,rag,0,1,"fact_coverage 0.80, no punt"
multihop_01,rag,1,1,"fact_coverage 0.80, no punt"
multihop_02,langgraph,0,1,"fact_coverage 0.67, no punt"
multihop_02,langgraph,1,1,"fact_coverage 0.67, no punt"
multihop_02,one_shot,0,1,"fact_coverage 1.00, no punt"
multihop_02,one_shot,1,1,"fact_coverage 1.00, no punt"
multihop_02,orchestrator,0,1,"fact_coverage 1.00, no punt"
multihop_02,orchestrator,1,1,"fact_coverage 1.00, no punt"
multihop_02,rag,0,1,"fact_coverage 1.00, no punt"
multihop_02,rag,1,1,"fact_coverage 1.00, no punt"
multihop_03,langgraph,0,1,"fact_coverage 1.00, no punt"
multihop_03,langgraph,1,1,"fact_coverage 1.00, no punt"
multihop_03,one_shot,0,1,"fact_coverage 1.00, no punt"
multihop_03,one_shot,1,1,"fact_coverage 1.00, no punt"
multihop_03,orchestrator,0,1,"fact_coverage 1.00, no punt"
multihop_03,orchestrator,1,1,"fact_coverage 1.00, no punt"
multihop_03,rag,0,1,"fact_coverage 0.67, no punt"
multihop_03,rag,1,1,"fact_coverage 0.67, no punt"
multihop_04,langgraph,0,1,"fact_coverage 0.50, no punt"
multihop_04,langgraph,1,1,"fact_coverage 0.50, no punt"
multihop_04,one_shot,0,1,"fact_coverage 0.50, no punt"
multihop_04,one_shot,1,1,"fact_coverage 0.50, no punt"
multihop_04,orchestrator,0,1,"fact_coverage 0.50, no punt"
multihop_04,orchestrator,1,1,"fact_coverage 1.00, no punt"
multihop_04,rag,0,1,"fact_coverage 0.50, no punt"
multihop_04,rag,1,1,"fact_coverage 0.50, no punt"
multihop_05,langgraph,0,1,"fact_coverage 1.00, no punt"
multihop_05,langgraph,1,1,"fact_coverage 1.00, no punt"
multihop_05,one_shot,0,1,"fact_coverage 0.50, no punt"
multihop_05,one_shot,1,1,"fact_coverage 0.50, no punt"
multihop_05,orchestrator,0,1,"fact_coverage 1.00, no punt"
multihop_05,orchestrator,1,1,"fact_coverage 1.00, no punt"
multihop_05,rag,0,1,"fact_coverage 1.00, no punt"
multihop_05,rag,1,1,"fact_coverage 1.00, no punt"
multihop_06,langgraph,0,1,"fact_coverage 1.00, no punt"
multihop_06,langgraph,1,1,"fact_coverage 1.00, no punt"
multihop_06,one_shot,0,1,"fact_coverage 1.00, no punt"
multihop_06,one_shot,1,1,"fact_coverage 1.00, no punt"
multihop_06,orchestrator,0,1,"fact_coverage 1.00, no punt"
multihop_06,orchestrator,1,1,"fact_coverage 1.00, no punt"
multihop_06,rag,0,1,"fact_coverage 1.00, no punt"
multihop_06,rag,1,1,"fact_coverage 1.00, no punt"
multihop_07,langgraph,0,1,"fact_coverage 0.67, no punt"
multihop_07,langgraph,1,1,"fact_coverage 1.00, no punt"
multihop_07,one_shot,0,1,"fact_coverage 1.00, no punt"
multihop_07,one_shot,1,1,"fact_coverage 0.67, no punt"
multihop_07,orchestrator,0,1,"fact_coverage 1.00, no punt"
