dataid,local_15min,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,battery1,car1,car2,circpump1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,grid,heater1,heater2,heater3,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,sewerpump1,shed1,solar,solar2,sprinkler1,sumppump1,utilityroom1,venthood1,waterheater1,waterheater2,wellpump1,winecooler1,leg1v,leg2v
5997,2019-06-24 14:45:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-2.48,,,,,,,,,0.058,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,2.861,,,,0.255,,0.0,,,,122.459,123.05
5997,2019-06-24 14:30:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.002,,-3.103,,,,,,,,,0.079,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,3.528,,,,0.281,,-0.001,,,,122.779,123.395
5997,2019-06-24 14:15:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-2.155,,,,,,,,,0.002,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,2.56,,,,0.29,,0.0,,,,122.205,122.79
5997,2019-06-24 14:00:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-1.667,,,,,,,,,0.002,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,2.241,,,,0.416,,0.0,,,,122.632,123.361
3488,2019-06-24 14:45:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.227,,,,0.077,,,,,,,,,0.0,0.005,,,,,,,,,,,,,,,,,,,,,0.068,,,,,0.991,,,,,0.137,0.473,,,,120.623,120.912
3488,2019-06-24 14:30:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,-0.001,,,0.231,,,,-0.439,,,,,,,,,0.001,0.005,,,,,,,,,,,,,,,,,,,,,0.084,,,,,1.413,,,,,0.143,0.443,,,,121.365,121.219
3488,2019-06-24 14:15:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.231,,,,-0.289,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.088,,,,,1.071,,,,,0.05,0.209,,,,121.396,120.924
3488,2019-06-24 14:00:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.235,,,,-0.352,,,,,,,,,0.0,0.004,,,,,,,,,,,,,,,,,,,,,0.086,,,,,0.871,,,,,0.005,0.0,,,,122.219,121.607
3488,2019-06-24 15:45:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,0.231,,,,0.589,,,,,,,,,0.001,0.005,,,,,,,,,,,,,,,,,,,,,0.052,,,,,0.712,,,,,0.324,0.526,,,,121.169,121.457
3488,2019-06-24 15:30:00-05,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,-0.001,,,0.23,,,,0.565,,,,,,,,,0.001,0.006,,,,,,,,,,,,,,,,,,,,,0.085,,,,,0.796,,,,,0.455,0.516,,,,121.185,121.401
